"Plazo","Tasa.Nominal"
472,7.394128
473,7.393106
474,7.392076
475,7.39104
476,7.389997
477,7.388947
478,7.387891
479,7.386829
480,7.385763
481,7.384692
482,7.383615
483,7.382536
484,7.381452
485,7.380365
486,7.379275
487,7.378183
488,7.377088
489,7.375992
490,7.374895
491,7.373796
492,7.372697
493,7.371598
494,7.370499
495,7.369401
496,7.368304
497,7.367207
498,7.366113
499,7.365021
500,7.363931
501,7.362845
502,7.36176
503,7.360681
504,7.359606
505,7.358534
506,7.357468
507,7.356406
508,7.35535
509,7.354301
510,7.353257
511,7.35222
512,7.351191
513,7.350168
514,7.349154
515,7.348147
516,7.34715
517,7.346162
518,7.345183
519,7.344213
520,7.343254
521,7.342306
522,7.341367
523,7.340441
524,7.339526
525,7.338623
526,7.337732
527,7.336855
528,7.33599
529,7.335139
530,7.334302
531,7.333479
532,7.33267
533,7.331878
534,7.3311
535,7.330338
536,7.329591
537,7.328862
538,7.328149
539,7.327454
540,7.326777
541,7.326118
542,7.325475
543,7.324854
544,7.32425
545,7.323666
546,7.323102
547,7.322558
548,7.322035
549,7.321533
550,7.321052
551,7.320593
552,7.320155
553,7.319741
554,7.319349
555,7.318967
556,7.318582
557,7.318194
558,7.317802
559,7.317407
560,7.317011
561,7.31661
562,7.316207
563,7.315801
564,7.315392
565,7.31498
566,7.314566
567,7.314149
568,7.31373
569,7.313308
570,7.312883
571,7.312457
572,7.312028
573,7.311597
574,7.311164
575,7.310728
576,7.310291
577,7.309851
578,7.309409
579,7.308966
580,7.30852
581,7.308073
582,7.307625
583,7.307174
584,7.306722
585,7.306268
586,7.305812
587,7.305356
588,7.304897
589,7.304437
590,7.303977
591,7.303514
592,7.303051
593,7.302587
594,7.302122
595,7.301655
596,7.301187
597,7.300719
598,7.300249
599,7.29978
600,7.299309
601,7.298837
602,7.298365
603,7.297892
604,7.297419
605,7.296945
606,7.296471
607,7.295996
608,7.295522
609,7.295046
610,7.294571
611,7.294096
612,7.29362
613,7.293144
614,7.292668
615,7.292193
616,7.291718
617,7.291243
618,7.290768
619,7.290293
620,7.289818
621,7.289344
622,7.288871
623,7.288398
624,7.287926
625,7.287454
626,7.286983
627,7.286512
628,7.286043
629,7.285574
630,7.285107
631,7.284639
632,7.284174
633,7.283708
634,7.283245
635,7.282782
636,7.28232
637,7.28186
638,7.281402
639,7.280943
640,7.280488
641,7.280033
642,7.27958
643,7.279128
644,7.278679
645,7.278231
646,7.277785
647,7.277339
648,7.276897
649,7.276456
650,7.276017
651,7.27558
652,7.275145
653,7.274713
654,7.274281
655,7.273854
656,7.273427
657,7.273003
658,7.272582
659,7.272163
660,7.271747
661,7.271333
662,7.270921
663,7.270512
664,7.270107
665,7.269703
666,7.269303
667,7.268905
668,7.268511
669,7.268119
670,7.26773
671,7.267344
672,7.266962
673,7.266582
674,7.266206
675,7.265833
676,7.265463
677,7.265097
678,7.264734
679,7.264375
680,7.264019
681,7.263666
682,7.263318
683,7.262973
684,7.262631
685,7.262294
686,7.261961
687,7.261631
688,7.261305
689,7.260984
690,7.260666
691,7.260352
692,7.260042
693,7.259737
694,7.259436
695,7.25914
696,7.258847
697,7.258559
698,7.258275
699,7.257997
700,7.257722
701,7.257452
702,7.257187
703,7.256927
704,7.25667
705,7.256419
706,7.256173
707,7.255933
708,7.255696
709,7.255465
710,7.255239
711,7.255018
712,7.254802
713,7.254591
714,7.254386
715,7.254186
716,7.253991
717,7.253802
718,7.253618
719,7.25344
720,7.253268
721,7.253101
722,7.252939
723,7.252783
724,7.252633
725,7.252489
726,7.252351
727,7.252218
728,7.252092
729,7.251972
730,7.251857
731,7.251749
732,7.251647
733,7.251552
734,7.251462
735,7.251379
736,7.2513
737,7.251223
738,7.251149
739,7.251078
740,7.25101
741,7.250944
742,7.250879
743,7.250818
744,7.250759
745,7.250702
746,7.250647
747,7.250595
748,7.250545
749,7.250498
750,7.250453
751,7.25041
752,7.250369
753,7.250331
754,7.250295
755,7.250261
756,7.250228
757,7.250199
758,7.250171
759,7.250146
760,7.250122
761,7.250101
762,7.250082
763,7.250065
764,7.250049
765,7.250037
766,7.250026
767,7.250016
768,7.250009
769,7.250004
770,7.250001
771,7.249999
772,7.25
773,7.250003
774,7.250007
775,7.250013
776,7.250021
777,7.25003
778,7.250042
779,7.250055
780,7.250071
781,7.250088
782,7.250106
783,7.250127
784,7.250148
785,7.250172
786,7.250197
787,7.250224
788,7.250252
789,7.250283
790,7.250315
791,7.250347
792,7.250383
793,7.250419
794,7.250457
795,7.250496
796,7.250536
797,7.250579
798,7.250622
799,7.250668
800,7.250715
801,7.250763
802,7.250812
803,7.250863
804,7.250914
805,7.250967
806,7.251022
807,7.251078
808,7.251136
809,7.251194
810,7.251254
811,7.251315
812,7.251378
813,7.251441
814,7.251505
815,7.251571
816,7.251638
817,7.251705
818,7.251774
819,7.251844
820,7.251916
821,7.251989
822,7.252062
823,7.252136
824,7.252212
825,7.252288
826,7.252365
827,7.252443
828,7.252523
829,7.252603
830,7.252684
831,7.252766
832,7.252849
833,7.252932
834,7.253017
835,7.253102
836,7.253188
837,7.253275
838,7.253363
839,7.253451
840,7.25354
841,7.253631
842,7.253721
843,7.253812
844,7.253904
845,7.253996
846,7.25409
847,7.254184
848,7.254278
849,7.254373
850,7.254469
851,7.254565
852,7.254662
853,7.254759
854,7.254857
855,7.254955
856,7.255054
857,7.255153
858,7.255252
859,7.255353
860,7.255453
861,7.255554
862,7.255656
863,7.255757
864,7.255859
865,7.255961
866,7.256064
867,7.256166
868,7.256269
869,7.256373
870,7.256477
871,7.25658
872,7.256684
873,7.256789
874,7.256893
875,7.256998
876,7.257103
877,7.257207
878,7.257313
879,7.257418
880,7.257523
881,7.257629
882,7.257734
883,7.257839
884,7.257944
885,7.25805
886,7.258156
887,7.258261
888,7.258367
889,7.258471
890,7.258577
891,7.258681
892,7.258787
893,7.258892
894,7.258997
895,7.259101
896,7.259205
897,7.25931
898,7.259414
899,7.259518
900,7.259621
901,7.259724
902,7.259827
903,7.25993
904,7.260033
905,7.260135
906,7.260237
907,7.260338
908,7.260439
909,7.260541
910,7.260641
911,7.260741
912,7.26084
913,7.260939
914,7.261038
915,7.261136
916,7.261234
917,7.26133
918,7.261428
919,7.261524
920,7.261621
921,7.261719
922,7.261817
923,7.261914
924,7.262014
925,7.262113
926,7.262213
927,7.262313
928,7.262413
929,7.262514
930,7.262615
931,7.262716
932,7.262818
933,7.26292
934,7.263023
935,7.263126
936,7.263229
937,7.263333
938,7.263437
939,7.263541
940,7.263646
941,7.263751
942,7.263856
943,7.263962
944,7.264068
945,7.264174
946,7.264281
947,7.264388
948,7.264495
949,7.264603
950,7.26471
951,7.264818
952,7.264927
953,7.265035
954,7.265144
955,7.265254
956,7.265363
957,7.265473
958,7.265583
959,7.265693
960,7.265803
961,7.265914
962,7.266025
963,7.266136
964,7.266247
965,7.266359
966,7.26647
967,7.266583
968,7.266695
969,7.266807
970,7.26692
971,7.267033
972,7.267145
973,7.267258
974,7.267371
975,7.267485
976,7.267598
977,7.267712
978,7.267826
979,7.26794
980,7.268054
981,7.268169
982,7.268283
983,7.268397
984,7.268512
985,7.268627
986,7.268742
987,7.268857
988,7.268972
989,7.269087
990,7.269203
991,7.269318
992,7.269434
993,7.26955
994,7.269665
995,7.269781
996,7.269897
997,7.270013
998,7.270128
999,7.270245
1000,7.270361
1001,7.270476
1002,7.270593
1003,7.270709
1004,7.270825
1005,7.270941
1006,7.271058
1007,7.271174
1008,7.27129
1009,7.271407
1010,7.271523
1011,7.271639
1012,7.271756
1013,7.271872
1014,7.271988
1015,7.272104
1016,7.27222
1017,7.272336
1018,7.272453
1019,7.272569
1020,7.272685
1021,7.272801
1022,7.272917
1023,7.273033
1024,7.273149
1025,7.273265
