Fecha,Mercado,Instrumento,Precio
11/09/2017,MD,*C-AWGUSD-V48,1.795
11/09/2017,MD,*C-BBDUSD-V48,2.0021
11/09/2017,MD,*C-BDTUSD-V48,82.075
11/09/2017,MD,*C-BEFUSD-V48,33.727603
11/09/2017,MD,*C-BGNUSD-V48,1.63515
11/09/2017,MD,*C-BMDUSD-V48,1
11/09/2017,MD,*C-BOBUSD-V48,6.965
11/09/2017,MD,*C-BRLAUD-V48,2.486874
11/09/2017,MD,*C-BRLCAD-V48,2.558009
11/09/2017,MD,*C-BRLCHF-V48,3.244737
11/09/2017,MD,*C-BRLEUR-V48,3.705067
11/09/2017,MD,*C-BRLGBP-V48,4.080821
11/09/2017,MD,*C-BRLUSD-V48,3.09775
11/09/2017,MD,*C-BSDUSD-V48,1
11/09/2017,MD,*C-BZDUSD-V48,2.0157
11/09/2017,MD,*C-CADAUD-V48,0.972191
11/09/2017,MD,*C-CADCHF-V48,1.268462
11/09/2017,MD,*C-CADEUR-V48,1.448418
11/09/2017,MD,*C-CADGBP-V48,1.595311
11/09/2017,MD,*C-CADJPY-V48,0.011073
11/09/2017,MD,*C-CADMXP-V48,0.068634
11/09/2017,MD,*C-CADUSD-V48,1.211
11/09/2017,MD,*C-CHFAUD-V48,0.766433
11/09/2017,MD,*C-CHFCAD-V48,0.788356
11/09/2017,MD,*C-CHFEUR-V48,1.14187
11/09/2017,MD,*C-CHFGBP-V48,1.257674
11/09/2017,MD,*C-CHFJPY-V48,0.008729
11/09/2017,MD,*C-CHFMXP-V48,0.054108
11/09/2017,MD,*C-CHFUSD-V48,0.9547
11/09/2017,MD,*C-CLFCLP-V48,26815.92147
11/09/2017,MD,*C-CLFPUSD-V48,0.023227
11/09/2017,MD,*C-CLPUSD-V48,622.84
11/09/2017,MD,*C-CNHUSD-V48,6.5383
11/09/2017,MD,*C-CNYUSD-V48,6.5297
11/09/2017,MD,*C-COPUSD-V48,2923
11/09/2017,MD,*C-COPUVR-V48,251.6554
11/09/2017,MD,*C-CRCUSD-V48,579.28
11/09/2017,MD,*C-CZKUSD-V48,21.8145
11/09/2017,MD,*C-DEGUSD-V48,1.41339
11/09/2017,MD,*C-DEMUSD-V48,1.635216
11/09/2017,MD,*C-DKKUSD-V48,6.22005
11/09/2017,MD,*C-DOPUSD-V48,47.645
11/09/2017,MD,*C-DZDUSD-V48,110.856
11/09/2017,MD,*C-EGPUSD-V48,17.6425
11/09/2017,MD,*C-ESPUSD-V48,139.112913
11/09/2017,MD,*C-EURAUD-V48,0.67121
11/09/2017,MD,*C-EURCAD-V48,0.690409
11/09/2017,MD,*C-EURCHF-V48,0.875757
11/09/2017,MD,*C-EURGBP-V48,1.101417
11/09/2017,MD,*C-EURJPY-V48,0.007644
11/09/2017,MD,*C-EURMXP-V48,0.047386
11/09/2017,MD,*C-EURUSD-V48,0.836085
11/09/2017,MD,*C-EURZAR-V48,0.064497
11/09/2017,MD,*C-FIMUSD-V48,4.971113
11/09/2017,MD,*C-FJDUSD-V48,0.49975
11/09/2017,MD,*C-FRFUSD-V48,5.484386
11/09/2017,MD,*C-GBPAUD-V48,0.609406
11/09/2017,MD,*C-GBPCAD-V48,0.626837
11/09/2017,MD,*C-GBPCHF-V48,0.795119
11/09/2017,MD,*C-GBPEUR-V48,0.907922
11/09/2017,MD,*C-GBPJPY-V48,0.006941
11/09/2017,MD,*C-GBPMXP-V48,0.043022
11/09/2017,MD,*C-GBPUSD-V48,0.7591
11/09/2017,MD,*C-GRDUSD-V48,284.896116
11/09/2017,MD,*C-GTQUSD-V48,7.2925
11/09/2017,MD,*C-GYDUSD-V48,206.11
11/09/2017,MD,*C-HKDUSD-V48,7.81415
11/09/2017,MD,*C-HNLUSD-V48,23.385
11/09/2017,MD,*C-HTGUSD-V48,63.40115
11/09/2017,MD,*C-HUFUSD-V48,256.22
11/09/2017,MD,*C-IDRUSD-V48,13162.5
